,input,target
655," In order to understand these , and more importantly , to link these together , that wisdom will duly serve him .","The wisdom needed in order to understand these concepts and , more importantly , to link them together , will duly serve him ."
656, We can use it .,We can use it .
657, We can use it .,We can use it .
658, We can use it .,We can use it .
659, We can use it .,We can use it .
660, Some people can encounter with people we have no idea about .,Some people can encounter people we have no idea about .
661, Some people can encounter with people we have no idea about .,Some people can encounter people we have no idea about .
662, Some people can encounter with people we have no idea about .,Some people can encounter other people that we have no idea about .
663, Some people can encounter with people we have no idea about .,Some people can encounter people we have no idea about .
664," When my grandmother getting old , she could not move her body easily .","When my grandmother was getting old , she could not move her body easily ."
665," When my grandmother getting old , she could not move her body easily .","When my grandmother was getting old , she could not move her body easily ."
666," When my grandmother getting old , she could not move her body easily .","When my grandmother was turning older , she could not move her body easily ."
667," When my grandmother getting old , she could not move her body easily .","When my grandmother got old , she could not move her body easily ."
668," As a tour guide , the person has to be familiar with the place he or she is touring .","As a tour guide , the person has to be familiar with the place he or she is touring ."
669," As a tour guide , the person has to be familiar with the place he or she is touring .","As a tour guide , the person has to be familiar with the place he or she is touring ."
670," As a tour guide , the person has to be familiar with the place he or she is touring .",A tour guide has to be familiar with the place he or she is touring .
671," As a tour guide , the person has to be familiar with the place he or she is touring .","As a tour guide , the person has to be familiar with the place he or she is giving a tour through ."
672, Three other costumer have not started using the product because they dont have anything to hang it with .,Three other customers have not started using the product because they do n't have anything to hang it with .
673, Three other costumer have not started using the product because they dont have anything to hang it with .,Three other costumers have not started using the product because they do n't have anything to hang it with .
674, Three other costumer have not started using the product because they dont have anything to hang it with .,Three other customers have not started using the product because they do n't have anything to hang it with .
675, Three other costumer have not started using the product because they dont have anything to hang it with .,Three other customers have not started using the product because they do n't have anything to hang it with .
676, And in the place where there is no train we can not help using cars .,And in places where there are no trains we have to use cars .
677, And in the place where there is no train we can not help using cars .,"And in the place where there are no trains , we can not help using cars ."
678, And in the place where there is no train we can not help using cars .,"In places where there are no trains , we can not help but to use cars ."
679, And in the place where there is no train we can not help using cars .,"In places where there are no trains , we can not help but use cars ."
680, you have to teach your child since he or she was antel they graw up .,You have to teach your child until they grow up .
681, you have to teach your child since he or she was antel they graw up .,You have to teach your child since he or she was anxious to grow up .
682, you have to teach your child since he or she was antel they graw up .,You have to teach your child since he or she was until they grow up .
683, you have to teach your child since he or she was antel they graw up .,You have to teach your child since they are born until they grow up .
684, If students have to study for history for example it is often enough to just learn the facts but on the other hand studing for physics or maths needs the understanding of the concepts .,"For example , if students have to study for history , it is often enough to just learn the facts ; on the other hand , studying for physics or math , one needs to understand the concepts ."
685, If students have to study for history for example it is often enough to just learn the facts but on the other hand studing for physics or maths needs the understanding of the concepts .,If students have to study for history for example it is often enough to just learn the facts but on the other hand studying for physics or math needs the understanding of the concepts .
686, If students have to study for history for example it is often enough to just learn the facts but on the other hand studing for physics or maths needs the understanding of the concepts .,"If students have to study for history , for example , it is often enough to just learn the facts ; but on the other hand , studying for physics or math requires understanding of the concepts ."
687, If students have to study for history for example it is often enough to just learn the facts but on the other hand studing for physics or maths needs the understanding of the concepts .,"If students have to study for history , for example , it is often enough to just learn the facts but , on the other hand , they have to understand the concepts to study for physics or math ."
688," For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok travel at lightening speed .","For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok travel at lightening speed ."
689," For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok travel at lightening speed .","For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok travel at lightning speed ."
690," For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok travel at lightening speed .","For example , the subway in New York , the bullet trains in Japan , the underground tube trains in Singapore , and the sky trains in Bangkok travel at lightning speed ."
691," For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok travel at lightening speed .","For example , the subway in New York , bullet trains in Japan , underground tube trains in Singapore and the sky trains in Bangkok all travel at lightning speeds ."
692," First , young people have a active mind .","First , young people have active minds ."
693," First , young people have a active mind .","First , young people have an active mind ."
694," First , young people have a active mind .","First , young people have an active mind ."
695," First , young people have a active mind .","First , young people have active minds ."
696, Obviously the unreplaciable examination and less enemy can bring huge advance to fulfill the defination about success .,Obviously the irreplaceable examination and less enemy can bring huge advances to fulfill the definition of success .
697, Obviously the unreplaciable examination and less enemy can bring huge advance to fulfill the defination about success .,Obviously the irreplaceable examination and less enemies can bring huge advances to fulfill the definition of success .
698, Obviously the unreplaciable examination and less enemy can bring huge advance to fulfill the defination about success .,Obviously the irreplaceable examination and fewer enemies can bring huge advances to fulfill the definition of success .
699, Obviously the unreplaciable examination and less enemy can bring huge advance to fulfill the defination about success .,Obviously the irreplaceable examinations and fewer challenges can bring huge advances to fulfill the definition of success .
700, Young people nowdays do n't give enough time to helping their communities .,Young people nowadays do n't give enough time to help their communities .
701, Young people nowdays do n't give enough time to helping their communities .,Young people these days do n't give enough time to helping their communities .
702, Young people nowdays do n't give enough time to helping their communities .,Young people nowadays do n't devote enough time to helping their communities .
703, Young people nowdays do n't give enough time to helping their communities .,Young people nowadays do n't spend enough time helping their communities .
704, The commercial was defenately more impressive than the product itself .,The commercial was definitely more impressive than the product itself .
705, The commercial was defenately more impressive than the product itself .,The commercial was definitely more impressive than the product itself .
706, The commercial was defenately more impressive than the product itself .,The commercial was definitely more impressive than the product itself .
707, The commercial was defenately more impressive than the product itself .,The commercial was definitely more impressive than the product itself .
708, And one of them was my friend who had seriouse prblems with her health .,And one of them was my friend who had serious problems with her health .
709, And one of them was my friend who had seriouse prblems with her health .,And one of them was my friend who had serious problems with her health .
710, And one of them was my friend who had seriouse prblems with her health .,"One of them was my friend , who had serious problems with her health ."
711, And one of them was my friend who had seriouse prblems with her health .,One of them was my friend who had serious problems with her health .
712," To this day , I still remember what we studied that day in class .","To this day , I still remember what we studied that day in class ."
713," To this day , I still remember what we studied that day in class .","To this day , I still remember what we studied that day in class ."
714," To this day , I still remember what we studied that day in class .","To this day , I still remember what we studied on that day in class ."
715," To this day , I still remember what we studied that day in class .","To this day , I still remember what we studied that day in class ."
716, Ihad good life in my cauntry but everything I got from my patents .,"I had a good life in my country , but everything I got from my patients ."
717, Ihad good life in my cauntry but everything I got from my patents .,"I had a good life in my country , but I got everything from my parents ."
718, Ihad good life in my cauntry but everything I got from my patents .,I had a good life in my country but I got everything from my patents .
719, Ihad good life in my cauntry but everything I got from my patents .,I had a good life in my country but everything I had I got from my parents .
720, But if the student is going only learning things whithout knowing the concept then not any company is give apportunity to that person because he does not know the concept of its related branch so by this way its create a problem in the future .,"But if the student is going to only learn things without knowing the concept , then no company is going to give an opportunity to that person because he does not know the concept of its related branch , so by this way it creates a problem in the future ."
721, But if the student is going only learning things whithout knowing the concept then not any company is give apportunity to that person because he does not know the concept of its related branch so by this way its create a problem in the future .,"But if the student is going to be only learning things without knowing the concept , then no company is give an opportunity to that person because he does not know the concept of its related branch , so it creates a problem in the future ."
722, But if the student is going only learning things whithout knowing the concept then not any company is give apportunity to that person because he does not know the concept of its related branch so by this way its create a problem in the future .,"But if the student is only learning things without knowing the concept , then no company is giving the opportunity to that person because he does not know the concept of its related branch so by this way it creates a problem in the future ."
723, But if the student is going only learning things whithout knowing the concept then not any company is give apportunity to that person because he does not know the concept of its related branch so by this way its create a problem in the future .,"However , if the student is going to only learn things without understanding the concepts , no company will give him an opportunity because he will not know the concepts of its related branch , and by this way it will create a problem in the future ."
724," Third , stone tower of east coast is making unnatural way also this tower is unusual in Europe so non Europian might be made this tower .","Third , the stone tower in the east coast is made in an unnatural way , also this tower is unusual in Europe so non Europeans might have made this tower ."
725," Third , stone tower of east coast is making unnatural way also this tower is unusual in Europe so non Europian might be made this tower .","Third , the stone tower of the east coast is made in an unnatural way also this tower is unusual in Europe so non Europeans might have not made this tower ."
726," Third , stone tower of east coast is making unnatural way also this tower is unusual in Europe so non Europian might be made this tower .","Third , the stone tower on the East coast is going in an unnatural way ; also , this tower is unusual in Europe , so non-Europeans might have made this tower ."
727," Third , stone tower of east coast is making unnatural way also this tower is unusual in Europe so non Europian might be made this tower .","Third , the stone tower on the east coast was made in an unusual way and it looks unnatural in Europe , so non-Europeans may have made this tower ."
728," secondly , it is an unfair action because it will effect the low-income American .","Secondly , it is an unfair action because it will effect the low-income American ."
729," secondly , it is an unfair action because it will effect the low-income American .","Secondly , it is an unfair action because it will effect the low-income Americans ."
730," secondly , it is an unfair action because it will effect the low-income American .","Secondly , it is an unfair action because it will affect low income Americans ."
731," secondly , it is an unfair action because it will effect the low-income American .","Secondly , it is an unfair action because it will affect low-income Americans ."
732, The factories are increasing sulfur dioxide to the air every year .,The factories are increasingly emitting sulfur dioxide into the air every year .
733, The factories are increasing sulfur dioxide to the air every year .,"Every year , factories are increasing sulfur dioxide output into the air ."
734, The factories are increasing sulfur dioxide to the air every year .,The factories are increasing sulfur dioxide into the air every year .
735, The factories are increasing sulfur dioxide to the air every year .,The factories are increasing the amount of sulfur dioxide in the air every year .
736," It`s result in people more mature , strong and calm in front problems of the life , because they undertand the problems go away and it depend what kind manner everybory look the face of the problem .","It results in people more mature , strong and calm in front of problems in life , because they understand that problems go away and it depends on what kind of manner everybody looks at the face of the problem ."
737," It`s result in people more mature , strong and calm in front problems of the life , because they undertand the problems go away and it depend what kind manner everybory look the face of the problem .","It results in people who are more mature , strong and calm in facing problems in life , because they understand that problems go away and it depends on what manner one looks at the face of the problem ."
738," It`s result in people more mature , strong and calm in front problems of the life , because they undertand the problems go away and it depend what kind manner everybory look the face of the problem .","It results in people more mature , strong and calm before life 's problems , because they understand the problems go away and it depends what attitude everyone has in the face of a problem ."
739," It`s result in people more mature , strong and calm in front problems of the life , because they undertand the problems go away and it depend what kind manner everybory look the face of the problem .","It results in people who are more mature , strong and calm when faced with the problems of life because they understand that problems go away , depending on what kind of manner people have when faced with a problem ."
740," for example work on a project , .","For example , work on a project ."
741," for example work on a project , .","For example , work on a project ."
742," for example work on a project , .","For example , work on a project ."
743," for example work on a project , .","For example , work on a project ."
744, this speace must change gerden .,This space must change into a garden .
745, this speace must change gerden .,This space must change into a garden .
746, this speace must change gerden .,This space must change the garden .
747, this speace must change gerden .,This space must change into a garden .
748," However , exist people that thing that when the people have a forty years ever a older person .","However , people exist that think when people have forty years over an older person ."
749," However , exist people that thing that when the people have a forty years ever a older person .","However , exist people that thing that when the people have a forty years ever a older person ."
750," However , exist people that thing that when the people have a forty years ever a older person .","However , there are those that think that when a person is forty years old they are an older person ."
751," However , exist people that thing that when the people have a forty years ever a older person .","However , some people think that , when people are forty years old , they are an older person ."
752," It is worthy of note that not every body will succeed when taking a risk , but that is not enough to deteir anybody who wishes to take one .","It is worthy to note that not every body will succeed when taking a risk , but that is not enough to deter anybody who wishes to take one ."
753," It is worthy of note that not every body will succeed when taking a risk , but that is not enough to deteir anybody who wishes to take one .","It is worth noting that not everyone will succeed when taking a risk , but that is not enough to deter anyone who wishes to take one ."
754," It is worthy of note that not every body will succeed when taking a risk , but that is not enough to deteir anybody who wishes to take one .","It is worth noting that not everybody will succeed when taking a risk , but that is not enough of a reason to deter anybody who wishes to take one ."
755," It is worthy of note that not every body will succeed when taking a risk , but that is not enough to deteir anybody who wishes to take one .","It is worth noting that not everybody will succeed when taking a risk , but that should not be enough to deter anybody who wishes to take one ."
756," apparently , I got a Japanese friend in the Japen , his name is Tomo .","Apparently , I got a friend in Japan , his name is Tomo ."
757," apparently , I got a Japanese friend in the Japen , his name is Tomo .","Apparently , I have a Japanese friend from Japan , his name is Tomo ."
758," apparently , I got a Japanese friend in the Japen , his name is Tomo .","Apparently I have a Japanese friend in Japan , and his name is Tomo ."
759," apparently , I got a Japanese friend in the Japen , his name is Tomo .","Apparently , I have a Japanese friend in Japan whose name is Tomo ."
760, when they do some work they thinks they have to fine work in time .,"When they do some work , they think they have to finish work in time ."
761, when they do some work they thinks they have to fine work in time .,When they do some work they think they have to find work in time .
762, when they do some work they thinks they have to fine work in time .,"When they do some work , they think they have to find work in time ."
763, when they do some work they thinks they have to fine work in time .,"When they do some work , they think they have to find work in time ."
764," As the gasoline tax rasing , it will help the vehicle company to make more cars to sell it to people .","With the gasoline tax rising , it would entice the vehicle company to make more cars to sell to people ."
765," As the gasoline tax rasing , it will help the vehicle company to make more cars to sell it to people .","As the gasoline tax is rising , it will help the vehicle company make more cars to sell to people ."
766," As the gasoline tax rasing , it will help the vehicle company to make more cars to sell it to people .","As the gasoline tax rises , it will help the vehicle companies to make more cars to sell to people ."
767," As the gasoline tax rasing , it will help the vehicle company to make more cars to sell it to people .","As the gasoline tax rises , it will help the vehicle companies make more cars to sell to people ."
768, Ignorance of striped bass will abbreviate our earning also it has some astonishing effects on our health .,"Ignorance of striped bass will abbreviate our earnings , also it has some astonishing effects on our health ."
769, Ignorance of striped bass will abbreviate our earning also it has some astonishing effects on our health .,"Ignorance of striped bass will abbreviate our learning ; also , it has some astonishing effects on our health ."
770, Ignorance of striped bass will abbreviate our earning also it has some astonishing effects on our health .,"Ignorance of striped bass will abbreviate our earnings , but it also has some astonishing effects on our health ."
771, Ignorance of striped bass will abbreviate our earning also it has some astonishing effects on our health .,Ignorance of striped bass will abbreviate our earnings and also have some astonishing effects on our health .
772, Maybe they have some disadvantages in humanity .,Maybe they have some disadvantages in humanity .
773, Maybe they have some disadvantages in humanity .,Maybe they have some disadvantages in humanity .
774, Maybe they have some disadvantages in humanity .,Maybe they have some disadvantages in humanity .
775, Maybe they have some disadvantages in humanity .,Maybe they have some disadvantages to humanity .
776," In the lecture , that zebra mussel is not really a serious threat have been proven .","In the lecture , the zebra mussel is not really a serious threat that has been proven ."
777," In the lecture , that zebra mussel is not really a serious threat have been proven .","In the lecture , zebra mussel not really being a serious threat had been proven ."
778," In the lecture , that zebra mussel is not really a serious threat have been proven .",The lecture indicated the zebra mussel is not really as serious a threat as previously proven .
779," In the lecture , that zebra mussel is not really a serious threat have been proven .","In the lecture , it was proved that zebra mussels are not really a serious threat ."
780, I think it will be lost .,I think it will be lost .
781, I think it will be lost .,I think it will be lost .
782, I think it will be lost .,I think it will be lost .
783, I think it will be lost .,I think it will be lost .
784, I expect human can make new material to replace gas but it is very difficult .,I expect humans can make new material to replace gas but it is very difficult .
785, I expect human can make new material to replace gas but it is very difficult .,I expect humans can make a new material to replace gas but it is very difficult to do so .
786, I expect human can make new material to replace gas but it is very difficult .,"I can expect humans to make new materials to replace gas , but it is very difficult ."
787, I expect human can make new material to replace gas but it is very difficult .,I expect humans can make new material to replace gas but it is very difficult .
788, Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .,Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .
789, Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .,Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .
790, Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .,Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .
791, Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student .,"Motives for war are more important to know because , from them , one might draw some conclusions and it might change something inside the student ."
792, Everything is possible which we can`t imagine .,"Everything is possible , which we ca n't imagine ."
793, Everything is possible which we can`t imagine .,Everything is possible which we ca n't imagine .
794, Everything is possible which we can`t imagine .,Everything is possible that we ca n't imagine .
795, Everything is possible which we can`t imagine .,"Everything is possible , even things which we ca n't imagine ."
796," Although there are some rules for protect young peopel such as limiting of aging in movies and preview about the bad aspect of programs before s , it is just made for little kids not young peole like high shcool or university student .","Although there are some rules to protect young people , such as age limits for movies and previews reviewing the bad aspects of programs before they air , the rules are only made for little kids , not young people like those in high school or universities ."
797," Although there are some rules for protect young peopel such as limiting of aging in movies and preview about the bad aspect of programs before s , it is just made for little kids not young peole like high shcool or university student .","Although there are some rules to protect young people such as an age limit at the movies and previews about the bad aspect of programs before , it is just made for little kids not young people like high school or university students ."
798," Although there are some rules for protect young peopel such as limiting of aging in movies and preview about the bad aspect of programs before s , it is just made for little kids not young peole like high shcool or university student .","Although there are some rules for protecting young people , such as warnings of ages in movies and previews about the bad aspects of programs , it is just made for little kids , not young people like high school or university students ."
799," Although there are some rules for protect young peopel such as limiting of aging in movies and preview about the bad aspect of programs before s , it is just made for little kids not young peole like high shcool or university student .","Although there are some rules for protecting young people , such as restricting the ages that can view movies and previewing the bad aspects of programs before they start , it is just made for little kids , not young people like high school or university students ."
800," However , the fact that they most of the time do not reflect the actual quality of a product decreases the reliability of the advertisements .","However , the fact that most of the time they do not reflect the actual quality of a product decreases the reliability of the advertisements ."
801," However , the fact that they most of the time do not reflect the actual quality of a product decreases the reliability of the advertisements .","However , the fact that they do not reflect the actual quality of a product most of the time decreases the reliability of the advertisements ."
802," However , the fact that they most of the time do not reflect the actual quality of a product decreases the reliability of the advertisements .","However , the fact that most of the time they do not reflect the actual quality of a product decreases the reliability of the advertisements ."
803," However , the fact that they most of the time do not reflect the actual quality of a product decreases the reliability of the advertisements .","However , the fact that they do not reflect the actual quality of a product most of the time decreases the reliability of the advertisements ."
804, We seem to have a lot of problem with those even if we have more good materials than in the past .,We seem to have a lot of problems with those even though we have better materials than we did in the past .
805, We seem to have a lot of problem with those even if we have more good materials than in the past .,We seem to have a lot of problems with those even if we have better materials than in the past .
806, We seem to have a lot of problem with those even if we have more good materials than in the past .,"We seem to have a lot of problems with those , even though we have more good materials than in the past ."
807, We seem to have a lot of problem with those even if we have more good materials than in the past .,We seem to have a lot of problems with them even if we have more good materials now than in the past .
808," We can be fatalist an say that with the developing of the third world , the problem will worsen .","We can be fatalist and say that with the developing of the third world , the problem will worsen ."
809," We can be fatalist an say that with the developing of the third world , the problem will worsen .","We can be a fatalist and say that with the developing of the third world , the problem will get worse ."
810," We can be fatalist an say that with the developing of the third world , the problem will worsen .","We can be fatalist and say that with the development of the third world , the problem will worsen ."
811," We can be fatalist an say that with the developing of the third world , the problem will worsen .","We can be fatalistic and say that , with the development of the third world , the problem will worsen ."
812," This things can make us more successful in life ; even though were that successful we must continue are work , we should take our chances to the greater heights .","These things can make us more successful in life ; even though we 're that successful , we must continue our work , and we should take our chances to the greater heights ."
813," This things can make us more successful in life ; even though were that successful we must continue are work , we should take our chances to the greater heights .","There are things that can make us more successful in life and even though we 're successful we must continue are work , we should take our chances to the greater heights ."
814," This things can make us more successful in life ; even though were that successful we must continue are work , we should take our chances to the greater heights .","These things can make us more successful in life ; even though we 're already successful , we must continue to work and should take our chances on greater achievements ."
815," This things can make us more successful in life ; even though were that successful we must continue are work , we should take our chances to the greater heights .","These things can make us more successful in life ; even though we are that successful we must continue our work , and we should take our chances to greater heights ."
816," For the greeks philosopher Plato an Aristotle , the capacity for understand ideas and concepts , the intelligence as the main ability of the human soul , is the part of ourselves that makes us the being we actually are .","For the Greeks , philosophers Plato and Aristotle , the capacity for understanding ideas and concepts and the intelligence as the main ability of the human soul , are the parts of ourselves that make us the beings we actually are ."
817," For the greeks philosopher Plato an Aristotle , the capacity for understand ideas and concepts , the intelligence as the main ability of the human soul , is the part of ourselves that makes us the being we actually are .","For the Greek philosophers Plato and Aristotle , the capacity for understanding ideas and concepts as well as intelligence being the main ability of the human soul , are the parts of ourselves that make us the beings we actually are ."
818," For the greeks philosopher Plato an Aristotle , the capacity for understand ideas and concepts , the intelligence as the main ability of the human soul , is the part of ourselves that makes us the being we actually are .","For the Greeks , the philosophers Plato and Aristotle , the capacity for understand ideas and concepts , the intelligence as the main ability of the human soul , is the part of ourselves that makes us the being we actually are ."
819," For the greeks philosopher Plato an Aristotle , the capacity for understand ideas and concepts , the intelligence as the main ability of the human soul , is the part of ourselves that makes us the being we actually are .","For the Greek philosophers Plato and Aristotle , the capacity for understanding ideas and concepts , or intelligence , is the main ability of the human soul , which is the part of ourselves that makes us the beings we actually are ."
820," In conclusion understanding the concepts is the more important than learning the facts , because it 's the ultimate gole of learning the facts .","In conclusion , understanding the concepts is more important than learning the facts , because it 's the ultimate goal of learning the facts ."
821," In conclusion understanding the concepts is the more important than learning the facts , because it 's the ultimate gole of learning the facts .","In conclusion , understanding the concepts is more important than learning the facts , because it 's the underlying goal of learning the facts ."
822," In conclusion understanding the concepts is the more important than learning the facts , because it 's the ultimate gole of learning the facts .","In conclusion , understanding concepts is more important than learning facts , because it 's the ultimate goal of learning facts ."
823," In conclusion understanding the concepts is the more important than learning the facts , because it 's the ultimate gole of learning the facts .","In conclusion , understanding concepts is more important than learning the facts because that is the ultimate goal of learning the facts ."
824, I basically feel that young people do enjoy their life more than older people do .,I basically feel that young people do enjoy their life more than older people do .
825, I basically feel that young people do enjoy their life more than older people do .,I basically feel that young people do enjoy their lives more than older people do .
826, I basically feel that young people do enjoy their life more than older people do .,I basically feel that young people enjoy their lives more than older people do .
827, I basically feel that young people do enjoy their life more than older people do .,I basically feel that young people enjoy their life more than older people do .
828," First , the ships not only helped them to spread but also they killed by ships .","First , the ships not only helped them to spread , but they were also killed by ships ."
829," First , the ships not only helped them to spread but also they killed by ships .","First , the ships not only helped them to spread out , but they were also killed by other ships ."
830," First , the ships not only helped them to spread but also they killed by ships .","First , the ships not only helped them to spread but they were also killed by ships ."
831," First , the ships not only helped them to spread but also they killed by ships .","First , the ships not only helped them to expand but also they were killed by ships ."
832, they might be bored of reading a complex passage .,They might be bored by reading a complex passage .
833, they might be bored of reading a complex passage .,They might be bored of reading a complex passage .
834, they might be bored of reading a complex passage .,They might be bored of reading a complex passage .
835, they might be bored of reading a complex passage .,They might be bored of reading a complex passage .
836, But it is possible to have a broad knowledge of many academis subjects without being specialized in one particular topic ?,But it is possible to have a broad knowledge of many academic subjects without being specialized in one particular topic .
837, But it is possible to have a broad knowledge of many academis subjects without being specialized in one particular topic ?,It is possible to have a broad knowledge of many academic subjects without being specialized in one particular topic .
838, But it is possible to have a broad knowledge of many academis subjects without being specialized in one particular topic ?,But is it possible to have a broad knowledge of many academic subjects without specializing in one particular topic ?
839, But it is possible to have a broad knowledge of many academis subjects without being specialized in one particular topic ?,But is it possible to have a broad knowledge of many academic subjects without specializing in one particular topic ?
840, So she decides to work in a Nursing Home because she wants to provide care for elderly people .,"So she decides to work in a nursing home , because she wants to provide care for elderly people ."
841, So she decides to work in a Nursing Home because she wants to provide care for elderly people .,So she decides to work in a nursing home because she wants to provide care for elderly people .
842, So she decides to work in a Nursing Home because she wants to provide care for elderly people .,So she decided to work in a nursing home because she wants to provide care for elderly people .
843, So she decides to work in a Nursing Home because she wants to provide care for elderly people .,She decides to work in a nursing home because she wants to provide care for elderly people .
844, This demonstrates the undeniable fact that it is bebeficial to having differnt experiences .,This demonstrates the undeniable fact that it is beneficial to have different experiences .
845, This demonstrates the undeniable fact that it is bebeficial to having differnt experiences .,This demonstrates the undeniable fact that it is beneficial to have different experiences .
846, This demonstrates the undeniable fact that it is bebeficial to having differnt experiences .,This demonstrates the undeniable fact that it is beneficial to have different experiences .
847, This demonstrates the undeniable fact that it is bebeficial to having differnt experiences .,This demonstrates the undeniable fact that it is beneficial to have different experiences .
848," Therefore , they will be more deep thinking person and good for thier future , so theacher should be required to take courses every five years .","To become deeper thinkers and improve their futures , teachers should be required to take courses every five years ."
849," Therefore , they will be more deep thinking person and good for thier future , so theacher should be required to take courses every five years .",Teachers should be required to take courses every five years so they can learn to think more deeply and benefit their future .
850," Therefore , they will be more deep thinking person and good for thier future , so theacher should be required to take courses every five years .","Therefore , they will be a more deep thinking person and good for their future , so teachers should be required to take courses every five years ."
851," Therefore , they will be more deep thinking person and good for thier future , so theacher should be required to take courses every five years .","Therefore , they will be a more deep-thinking person and better their future , so teachers should be required to take courses every five years ."
852," In my case , I am working more than 200 hours a month , in order to get money required to pay back to a bank ( I borrowed some money for buying my house . ) .","In my case , I am working more than 200 hours a month in order to get money required to pay back a bank ( I borrowed some money to buy my house ) ."
853," In my case , I am working more than 200 hours a month , in order to get money required to pay back to a bank ( I borrowed some money for buying my house . ) .","In my case , I am working more than 200 hours a month , in order to get money required to pay back to a bank ( I borrowed some money for buying my house . ) ."
854," In my case , I am working more than 200 hours a month , in order to get money required to pay back to a bank ( I borrowed some money for buying my house . ) .","In my case , I am working more than 200 hours a month in order to get the money required to pay back to a bank ( I borrowed some money for buying my house ) ."
855," In my case , I am working more than 200 hours a month , in order to get money required to pay back to a bank ( I borrowed some money for buying my house . ) .","In my case , I am working more than 200 hours a month in order to get the money required to pay back the bank ( I borrowed some money to buy my house ) ."
856," because , student must do homework .",Students must do homework .
857," because , student must do homework .",Because students must do homework .
858," because , student must do homework .",Because students must do homework .
859," because , student must do homework .",Because students must do homework .
860, it 's make a good partner .,It makes a good partner .
861, it 's make a good partner .,It makes a good partner .
862, it 's make a good partner .,It makes a good partner .
863, it 's make a good partner .,It makes a good partner .
864," As a result , she could get a job that she badly wanted but she did n't expected because many people were flock to this company .","As a result , she was able to get a job that she badly wanted but did n't expect because so many people were flocking to this company ."
865," As a result , she could get a job that she badly wanted but she did n't expected because many people were flock to this company .","As a result , she could get a job that she badly wanted but she did n't expect to get because many people flocked to this company ."
866," As a result , she could get a job that she badly wanted but she did n't expected because many people were flock to this company .","As a result , she could get a job that she badly wanted but did n't expect to get because many people were flocking to this company ."
867," As a result , she could get a job that she badly wanted but she did n't expected because many people were flock to this company .","As a result , she could get a job that she badly wanted but she did n't expect to because many people were flocking to this company ."
868, Maybe for the ecologistics in twenty years there will be fewer cars in use than there are today not for the citizens that everyday must go to the office .,"Maybe , for the ecologists , in twenty years there will be fewer cars in use than there are today , but not for the citizens that must go to the office everyday ."
869, Maybe for the ecologistics in twenty years there will be fewer cars in use than there are today not for the citizens that everyday must go to the office .,"Maybe for the ecologists , there will be fewer cars in use in twenty years than there are today , but not for the citizens that must go to the office everyday ."
